,SKU_ID,UOM_ID,SalesCategoryID,CategoryID,NACSCategoryID,Category,Description,LongDescription,ShortDescription,POSDescription
0,1,119,40,40,140,General Merchandise,General Merchandise,1000 DRINKING GAMES IN A BOX,1000 DRINK GAME,1000 DRINKING GAMES
1,2,119,52,52,91,Salty Snacks,Salty Snacks Inv,2/$1 RED HOT SAUSAGE,MEAT SNACK RH,2/$1 RED HOT SAUSAGE
2,3,119,52,52,91,Salty Snacks,Salty Snacks Inv,20 COUNT VARIETY PACK,VARIETY 20CT,20 COUNT VARIETY PACK
3,4,119,52,52,91,Salty Snacks,Salty Snacks Inv,26 CT 100 CALORIE VARIETY PACK,VARIETY 100CAL,26CT 100 CALORIE VARIETY
4,5,119,52,52,91,Salty Snacks,Salty Snacks Inv,3 CHEESE MEDLEY NIBBLERS,PRETZEL 3 CHEESE,3 CHEESE MEDLEY NIBBLERS
5,6,119,40,40,140,General Merchandise,General Merchandise,3 WAY 2.1A APPLE 30 PIN DOCK CONNECTOR,3 WAY APPLE 30PN,3 WAY 2.1A APPLE 30 PIN
6,7,119,40,40,140,General Merchandise,General Merchandise,3 WAY 2.1A MICRO USB,3 WAY MICRO USB,3 WAY 2.1A MICRO USB
7,8,119,40,40,140,General Merchandise,General Merchandise,3D ART TRIPLE FRAMED,3D ART FRAMED,3D ART TRIPLE FRAMED
8,9,119,40,40,140,General Merchandise,General Merchandise,3D ART UNFRAMED,3D ART UNFRAMED,3D ART UNFRAMED
9,10,119,52,52,91,Salty Snacks,Salty Snacks Inv,5 OZ BBQ PORK SKIN,BBQ PORK SKINS,5 OZ BBQ PORK SKIN
10,11,119,52,52,91,Salty Snacks,Salty Snacks Inv,5 OZ LOUISIANA HOT PORK SKIN,HOT PORK SKINS,5 OZ LA HOT PORK SKIN
11,12,119,52,52,91,Salty Snacks,Salty Snacks Inv,5 OZ OLD FASHION PORK SKIN,OF PORK SKINS,5 OZ OLD FASH PORK SKIN
12,13,127,46,46,41,Packaged Beverages,Packaged Beverages NA Inv,7UP 1 LITER BOTTLE,7UP 1 LITER BTL,7UP
13,14,133,46,46,41,Packaged Beverages,Packaged Beverages NA Inv,7UP 12 PACK 12 OZ CAN,7UP 12 PACK,7UP CAN
14,15,144,46,46,41,Packaged Beverages,Packaged Beverages NA Inv,7UP 2 LITER,7UP 2L,7UP BOTTLE
